record_id,census_year,source_pk,ed,page_number
1,1900,1,NULL,NULL
2,1900,2,NULL,NULL
3,1900,3,NULL,NULL
4,1900,4,NULL,NULL
5,1900,5,NULL,NULL
6,1900,6,NULL,NULL
7,1900,7,NULL,NULL
8,1900,8,NULL,NULL
9,1900,9,NULL,NULL
10,1900,10,NULL,NULL
11,1900,11,NULL,NULL
12,1900,12,NULL,NULL
13,1900,13,NULL,NULL
14,1900,14,NULL,NULL
15,1900,15,NULL,NULL
16,1900,16,NULL,NULL
17,1900,17,NULL,NULL
18,1900,18,NULL,NULL
19,1900,19,NULL,NULL
20,1900,20,NULL,NULL
21,1900,21,NULL,NULL
22,1900,22,NULL,NULL
23,1900,23,NULL,NULL
24,1900,24,NULL,NULL
25,1900,25,NULL,NULL
26,1900,26,NULL,NULL
27,1900,27,NULL,NULL
28,1900,28,NULL,NULL
29,1900,29,NULL,NULL
30,1900,30,NULL,NULL
31,1900,31,NULL,NULL
32,1900,32,NULL,NULL
33,1900,33,NULL,NULL
34,1900,34,NULL,NULL
35,1900,35,NULL,NULL
36,1900,36,NULL,NULL
37,1900,37,NULL,NULL
38,1900,38,NULL,NULL
39,1900,39,NULL,NULL
40,1900,40,NULL,NULL
41,1900,41,NULL,NULL
42,1900,42,NULL,NULL
43,1900,43,NULL,NULL
44,1900,44,NULL,NULL
45,1900,45,NULL,NULL
46,1900,46,NULL,NULL
47,1900,47,NULL,NULL
48,1900,48,NULL,NULL
49,1900,49,NULL,NULL
50,1900,50,NULL,NULL
51,1900,51,NULL,NULL
52,1900,52,NULL,NULL
53,1900,53,NULL,NULL
54,1900,54,NULL,NULL
55,1900,55,NULL,NULL
56,1900,56,NULL,NULL
57,1900,57,NULL,NULL
58,1900,58,NULL,NULL
59,1900,59,NULL,NULL
60,1900,60,NULL,NULL
61,1900,61,NULL,NULL
62,1900,62,NULL,NULL
63,1900,63,NULL,NULL
64,1900,64,NULL,NULL
65,1900,65,NULL,NULL
66,1900,66,NULL,NULL
67,1900,67,NULL,NULL
68,1900,68,NULL,NULL
69,1900,69,NULL,NULL
70,1900,70,NULL,NULL
71,1900,71,NULL,NULL
72,1900,72,NULL,NULL
73,1900,73,NULL,NULL
74,1900,74,NULL,NULL
75,1900,75,NULL,NULL
76,1900,76,NULL,NULL
77,1900,77,NULL,NULL
78,1900,78,NULL,NULL
79,1900,79,NULL,NULL
80,1900,80,NULL,NULL
81,1900,81,NULL,NULL
82,1900,82,NULL,NULL
83,1900,83,NULL,NULL
84,1900,84,NULL,NULL
85,1900,85,NULL,NULL
86,1900,86,NULL,NULL
87,1900,87,NULL,NULL
88,1900,88,NULL,NULL
89,1900,89,NULL,NULL
90,1900,90,NULL,NULL
91,1900,91,NULL,NULL
92,1900,92,NULL,NULL
93,1900,93,NULL,NULL
94,1900,94,NULL,NULL
95,1900,95,NULL,NULL
96,1900,96,NULL,NULL
97,1900,97,NULL,NULL
98,1900,98,NULL,NULL
99,1900,99,NULL,NULL
100,1900,100,NULL,NULL
101,1900,101,NULL,NULL
102,1900,102,NULL,NULL
103,1900,103,NULL,NULL
104,1900,104,NULL,NULL
105,1900,105,NULL,NULL
106,1900,106,NULL,NULL
107,1900,107,NULL,NULL
108,1900,108,NULL,NULL
109,1900,109,NULL,NULL
110,1900,110,NULL,NULL
111,1900,111,NULL,NULL
112,1900,112,NULL,NULL
113,1900,113,NULL,NULL
114,1900,114,NULL,NULL
115,1900,115,NULL,NULL
116,1900,116,NULL,NULL
117,1900,117,NULL,NULL
118,1900,118,NULL,NULL
119,1900,119,NULL,NULL
120,1900,120,NULL,NULL
121,1900,121,NULL,NULL
122,1900,122,NULL,NULL
123,1900,123,NULL,NULL
124,1900,124,NULL,NULL
125,1900,125,NULL,NULL
126,1900,126,NULL,NULL
127,1900,127,NULL,NULL
128,1900,128,NULL,NULL
129,1900,129,NULL,NULL
130,1900,130,NULL,NULL
131,1900,131,NULL,NULL
132,1900,132,NULL,NULL
133,1900,133,NULL,NULL
134,1900,134,NULL,NULL
135,1900,135,NULL,NULL
136,1900,136,NULL,NULL
137,1900,137,NULL,NULL
138,1900,138,NULL,NULL
139,1900,139,NULL,NULL
140,1900,140,NULL,NULL
141,1900,141,NULL,NULL
142,1900,142,NULL,NULL
143,1900,143,NULL,NULL
144,1900,144,NULL,NULL
145,1900,145,NULL,NULL
146,1900,146,NULL,NULL
147,1900,147,NULL,NULL
148,1900,148,NULL,NULL
149,1900,149,NULL,NULL
150,1900,150,NULL,NULL
151,1900,151,NULL,NULL
152,1900,152,NULL,NULL
153,1900,153,NULL,NULL
154,1900,154,NULL,NULL
155,1900,155,NULL,NULL
156,1900,156,NULL,NULL
157,1900,157,NULL,NULL
158,1900,158,NULL,NULL
159,1900,159,NULL,NULL
160,1900,160,NULL,NULL
161,1900,161,NULL,NULL
162,1900,162,NULL,NULL
163,1900,163,NULL,NULL
164,1900,164,NULL,NULL
165,1900,165,NULL,NULL
166,1900,166,NULL,NULL
167,1900,167,NULL,NULL
168,1900,168,NULL,NULL
169,1900,169,NULL,NULL
170,1900,170,NULL,NULL
171,1900,171,NULL,NULL
172,1900,172,NULL,NULL
173,1900,173,NULL,NULL
174,1900,174,NULL,NULL
175,1900,175,NULL,NULL
176,1900,176,NULL,NULL
177,1900,177,NULL,NULL
178,1900,178,NULL,NULL
179,1900,179,NULL,NULL
180,1900,180,NULL,NULL
181,1900,181,NULL,NULL
182,1900,182,NULL,NULL
183,1900,183,NULL,NULL
184,1900,184,NULL,NULL
185,1900,185,NULL,NULL
186,1900,186,NULL,NULL
187,1920,1,NULL,NULL
188,1920,2,NULL,NULL
189,1920,3,NULL,NULL
190,1920,4,NULL,NULL
191,1920,5,NULL,NULL
192,1920,6,NULL,NULL
193,1920,7,NULL,NULL
194,1920,8,NULL,NULL
195,1920,9,NULL,NULL
196,1920,10,NULL,NULL
197,1920,11,NULL,NULL
198,1920,12,NULL,NULL
199,1920,13,NULL,NULL
200,1920,14,NULL,NULL
201,1920,15,NULL,NULL
202,1920,16,NULL,NULL
203,1920,17,NULL,NULL
204,1920,18,NULL,NULL
205,1920,19,NULL,NULL
206,1920,20,NULL,NULL
207,1920,21,NULL,NULL
208,1920,22,NULL,NULL
209,1920,23,NULL,NULL
210,1920,24,NULL,NULL
211,1920,25,NULL,NULL
212,1920,26,NULL,NULL
213,1920,27,NULL,NULL
214,1920,28,NULL,NULL
215,1920,29,NULL,NULL
216,1920,30,NULL,NULL
217,1920,31,NULL,NULL
218,1920,32,NULL,NULL
219,1920,33,NULL,NULL
220,1920,34,NULL,NULL
221,1920,35,NULL,NULL
222,1920,36,NULL,NULL
223,1920,37,NULL,NULL
224,1920,38,NULL,NULL
225,1920,39,NULL,NULL
226,1920,40,NULL,NULL
227,1920,41,NULL,NULL
228,1920,42,NULL,NULL
229,1920,43,NULL,NULL
230,1920,44,NULL,NULL
231,1920,45,NULL,NULL
232,1920,46,NULL,NULL
233,1920,47,NULL,NULL
234,1920,48,NULL,NULL
235,1920,49,NULL,NULL
236,1920,50,NULL,NULL
237,1920,51,NULL,NULL
238,1920,52,NULL,NULL
239,1920,53,NULL,NULL
240,1920,54,NULL,NULL
241,1920,55,NULL,NULL
242,1920,56,NULL,NULL
243,1920,57,NULL,NULL
244,1920,58,NULL,NULL
245,1920,59,NULL,NULL
246,1920,60,NULL,NULL
247,1920,61,NULL,NULL
248,1920,62,NULL,NULL
249,1920,63,NULL,NULL
250,1920,64,NULL,NULL
251,1920,65,NULL,NULL
252,1920,66,NULL,NULL
253,1920,67,NULL,NULL
254,1920,68,NULL,NULL
255,1920,69,NULL,NULL
256,1920,70,NULL,NULL
257,1920,71,NULL,NULL
258,1920,72,NULL,NULL
259,1920,73,NULL,NULL
260,1920,74,NULL,NULL
261,1920,75,NULL,NULL
262,1920,76,NULL,NULL
263,1920,77,NULL,NULL
264,1920,78,NULL,NULL
265,1920,79,NULL,NULL
266,1920,80,NULL,NULL
267,1920,81,NULL,NULL
268,1920,82,NULL,NULL
269,1920,83,NULL,NULL
270,1920,84,NULL,NULL
271,1920,85,NULL,NULL
272,1920,86,NULL,NULL
273,1920,87,NULL,NULL
274,1920,88,NULL,NULL
275,1920,89,NULL,NULL
276,1920,90,NULL,NULL
277,1920,91,NULL,NULL
278,1920,92,NULL,NULL
279,1920,93,NULL,NULL
280,1920,94,NULL,NULL
281,1920,95,NULL,NULL
282,1920,96,NULL,NULL
283,1920,97,NULL,NULL
284,1920,98,NULL,NULL
285,1920,99,NULL,NULL
286,1920,100,NULL,NULL
287,1920,101,NULL,NULL
288,1920,102,NULL,NULL
289,1920,103,NULL,NULL
290,1920,104,NULL,NULL
291,1920,105,NULL,NULL
292,1920,106,NULL,NULL
293,1920,107,NULL,NULL
294,1920,108,NULL,NULL
295,1920,109,NULL,NULL
296,1920,110,NULL,NULL
297,1920,111,NULL,NULL
298,1920,112,NULL,NULL
299,1920,113,NULL,NULL
300,1920,114,NULL,NULL
301,1920,115,NULL,NULL
302,1920,116,NULL,NULL
303,1920,117,NULL,NULL
304,1920,118,NULL,NULL
305,1920,119,NULL,NULL
306,1920,120,NULL,NULL
307,1920,121,NULL,NULL
308,1920,122,NULL,NULL
309,1920,123,NULL,NULL
310,1920,124,NULL,NULL
311,1920,125,NULL,NULL
312,1920,126,NULL,NULL
313,1920,127,NULL,NULL
314,1920,128,NULL,NULL
315,1920,129,NULL,NULL
316,1920,130,NULL,NULL
317,1920,131,NULL,NULL
318,1920,132,NULL,NULL
319,1920,133,NULL,NULL
320,1920,134,NULL,NULL
321,1920,135,NULL,NULL
322,1920,136,NULL,NULL
323,1920,137,NULL,NULL
324,1920,138,NULL,NULL
325,1920,139,NULL,NULL
326,1920,140,NULL,NULL
327,1920,141,NULL,NULL
328,1920,142,NULL,NULL
329,1920,143,NULL,NULL
330,1920,144,NULL,NULL
331,1920,145,NULL,NULL
332,1920,146,NULL,NULL
333,1920,147,NULL,NULL
