location_id,record_id,street_name,house_num,build_num,dwelling_number,family_number
1,612,,,,32,32
2,613,,,,32,32
3,614,,,,32,32
4,615,,,,32,32
5,616,,,,32,32
6,617,,,,33,33
7,618,,,,33,33
8,619,,,,33,33
9,620,,,,33,33
10,621,,,,33,33
11,622,,,,33,33
12,623,,,,34,34
13,624,,,,34,34
14,625,,,,34,34
15,626,,,,34,34
16,627,,,,34,34
17,628,,,,35,35
18,629,,,,35,35
19,630,,,,35,35
20,631,,,,36,36
21,632,,,,36,36
22,633,,,,36,36
23,634,,,,36,36
24,635,,,,37,38
25,636,,,,37,38
26,637,,,,37,38
27,638,,,,37,38
28,639,,,,37,38
29,640,,,,35,39
30,641,,,,35,39
31,642,,,,35,39
32,643,,,,35,4
33,644,,,,35,4
34,645,,,,35,4
35,646,,,,35,4
36,647,,,,4,42
37,648,,,,4,42
38,649,,,,4,42
39,650,,,,43,45
40,651,,,,45,47
41,652,,,,45,47
42,653,,,,46,48
43,654,,,,47,49
44,655,,,,47,49
45,656,,,,47,49
46,657,,,,47,49
47,658,,,,47,49
48,659,,,,47,49
49,660,,,,47,5
50,661,,,,47,5
51,662,,,,47,5
52,663,,,,48,51
53,664,,,,48,51
54,665,,,,48,51
55,666,,,,49,52
56,667,,,,49,52
57,668,,,,49,52
58,669,,,,49,52
59,670,,,,49,52
60,671,,,,49,52
61,672,,,,49,52
62,673,,,,49,52
63,674,,,,49,52
64,675,,,,5,53
65,676,,,,5,53
66,677,,,,54,57
67,678,,,,54,57
68,679,,,,54,57
69,680,,,,54,57
70,681,,,,55,58
71,682,,,,55,58
72,683,,,,55,58
73,684,,,,55,58
74,685,,,,55,58
75,686,,,,55,58
76,687,,,,55,58
77,688,,,,55,58
78,689,,,,55,58
79,690,,,,55,58
80,691,,,,55,58
81,692,,,,55,58
82,693,,,,58,61
83,694,,,,6,63
84,695,,,,6,63
85,696,,,,6,63
86,697,,,,6,63
87,698,,,,6,63
88,699,,,,6,63
89,700,,,,6,63
90,701,,,,6,63
91,702,,,,6,63
92,703,,,,6,63
93,704,,,,61,64
94,705,,,,61,64
95,706,,,,61,64
96,707,,,,61,64
97,708,,,,61,64
98,709,,,,61,64
99,710,,,,62,65
100,711,,,,62,65
101,712,,,,62,65
102,713,,,,62,65
103,714,,,,62,65
104,715,,,,62,66
105,716,,,,62,67
106,717,,,,63,67
107,718,,,,64,68
108,719,,,,64,68
109,720,,,,64,68
110,721,,,,64,69
111,722,,,,64,69
112,723,,,,64,69
113,724,,,,66,71
114,725,,,,67,72
115,726,,,,67,72
116,727,,,,67,72
117,728,,,,68,73
118,729,,,,68,73
119,730,,,,68,73
120,731,,,,68,73
121,732,,,,68,73
122,733,,,,68,73
123,734,,,,68,73
124,735,,,,68,73
125,736,,,,69,74
126,737,,,,69,74
127,738,,,,74,79
128,739,,,,8,87
129,740,,,,8,87
130,741,,,,81,88
131,742,,,,81,88
132,743,,,,35,88
133,744,,,,81,88
134,745,,,,81,88
135,746,,,,118,125
136,747,,,,12,127
137,748,,,,121,128
138,749,,,,121,128
139,750,,,,122,129
140,751,,,,122,129
141,752,,,,122,129
142,753,,,,122,129
143,754,,,,122,129
144,755,,,,122,129
145,756,,,,122,129
146,757,,,,122,129
147,758,,,,122,129
148,759,,,,127,134
149,760,,,,127,134
150,761,,,,127,135
151,762,,,,127,135
152,763,,,,127,135
153,764,,,,127,135
154,765,,,,127,135
155,766,,,,127,135
156,767,,,,131,139
157,768,,,,131,139
158,769,,,,131,139
159,770,,,,131,139
160,771,,,,131,139
161,772,,,,132,14
162,773,,,,132,14
163,774,,,,133,141
164,775,,,,134,142
165,776,,,,134,142
166,777,,,,134,142
167,778,,,,135,143
168,779,,,,234,25
169,780,,,,234,25
170,781,,,,234,25
171,782,,,,234,25
172,783,,,,234,25
173,784,,,,234,25
174,785,,,,234,25
175,786,,,,234,25
176,787,,,,137,145
177,788,,,,137,145
178,789,,,,137,145
179,790,,,,137,145
180,791,,,,137,145
181,792,,,,137,145
182,793,,,,137,145
183,794,,,,128,136
184,795,,,,128,136
185,796,,,,128,136
186,797,,,,128,136
187,612,,,,115,125
