marital_id,person_id,record_id,marital_status
1,P1900_,612,M
2,P1900_000001,613,M
3,P1900_000002,614,S
4,P1900_000003,615,S
5,P1900_000004,616,S
6,P1900_000005,617,M
7,P1900_000006,618,M
8,P1900_000007,619,S
9,P1900_000008,620,S
10,P1900_000009,621,S
11,P1900_00001,622,S
12,P1900_000011,623,M
13,P1900_000012,624,M
14,P1900_000013,625,S
15,P1900_000014,626,S
16,P1900_000015,627,S
17,P1900_000016,628,M
18,P1900_000017,629,M
19,P1900_000018,630,S
20,P1900_000019,631,M
21,P1900_00002,632,M
22,P1900_000021,633,S
23,P1900_000022,634,W
24,P1900_000023,635,M
25,P1900_000024,636,M
26,P1900_000025,637,S
27,P1900_000026,638,S
28,P1900_000027,639,S
29,P1900_000028,640,M
30,P1900_000029,641,M
31,P1900_00003,642,S
32,P1900_000031,643,M
33,P1900_000032,644,M
34,P1900_000033,645,S
35,P1900_000034,646,S
36,P1900_000035,647,M
37,P1900_000036,648,M
38,P1900_000037,649,S
39,P1900_000038,650,W
40,P1900_000039,651,W
41,P1900_00004,652,S
42,P1900_000041,653,S
43,P1900_000042,654,M
44,P1900_000043,655,M
45,P1900_000044,656,S
46,P1900_000045,657,S
47,P1900_000046,658,S
48,P1900_000047,659,S
49,P1900_000048,660,M
50,P1900_000049,661,M
51,P1900_00005,662,S
52,P1900_000051,663,S
53,P1900_000052,664,M
54,P1900_000053,665,S
55,P1900_000054,666,M
56,P1900_000055,667,M
57,P1900_000056,668,S
58,P1900_000057,669,S
59,P1900_000058,670,S
60,P1900_000059,671,S
61,P1900_00006,672,S
62,P1900_000061,673,S
63,P1900_000062,674,S
64,P1900_000063,675,M
65,P1900_000064,676,M
66,P1900_000065,677,M
67,P1900_000066,678,M
68,P1900_000067,679,S
69,P1900_000068,680,S
70,P1900_000069,681,M
71,P1900_00007,682,M
72,P1900_000071,683,S
73,P1900_000072,684,S
74,P1900_000073,685,S
75,P1900_000074,686,S
76,P1900_000075,687,S
77,P1900_000076,688,S
78,P1900_000077,689,S
79,P1900_000078,690,S
80,P1900_000079,691,S
81,P1900_00008,692,S
82,P1900_000081,693,S
83,P1900_000082,694,M
84,P1900_000083,695,M
85,P1900_000084,696,S
86,P1900_000085,697,S
87,P1900_000086,698,S
88,P1900_000087,699,S
89,P1900_000088,700,S
90,P1900_000089,701,S
91,P1900_00009,702,M
92,P1900_000091,703,M
93,P1900_000092,704,M
94,P1900_000093,705,M
95,P1900_000094,706,S
96,P1900_000095,707,S
97,P1900_000096,708,S
98,P1900_000097,709,S
99,P1900_000098,710,M
100,P1900_000099,711,M
101,P1900_0001,712,S
102,P1900_000101,713,S
103,P1900_000102,714,S
104,P1900_000103,715,M
105,P1900_000104,716,M
106,P1900_000105,717,M
107,P1900_000106,718,S
108,P1900_000107,719,S
109,P1900_000108,720,S
110,P1900_000109,721,M
111,P1900_00011,722,M
112,P1900_000111,723,S
113,P1900_000112,724,S
114,P1900_000113,725,M
115,P1900_000114,726,M
116,P1900_000115,727,S
117,P1900_000116,728,M
118,P1900_000117,729,M
119,P1900_000118,730,S
120,P1900_000119,731,S
121,P1900_00012,732,S
122,P1900_000121,733,S
123,P1900_000122,734,S
124,P1900_000123,735,S
125,P1900_000124,736,M
126,P1900_000125,737,M
127,P1900_000126,738,W
128,P1900_000127,739,M
129,P1900_000128,740,S
130,P1900_000129,741,M
131,P1900_00013,742,M
132,P1900_000131,743,S
133,P1900_000132,744,S
134,P1900_000133,745,S
135,P1900_000134,746,W
136,P1900_000135,747,S
137,P1900_000136,748,S
138,P1900_000137,749,W
139,P1900_000138,750,M
140,P1900_000139,751,M
141,P1900_00014,752,S
142,P1900_000141,753,S
143,P1900_000142,754,S
144,P1900_000143,755,S
145,P1900_000144,756,W
146,P1900_000145,757,S
147,P1900_000146,758,S
148,P1900_000147,759,M
149,P1900_000148,760,M
150,P1900_000149,761,M
151,P1900_00015,762,M
152,P1900_000151,763,S
153,P1900_000152,764,S
154,P1900_000153,765,S
155,P1900_000154,766,S
156,P1900_000155,767,M
157,P1900_000156,768,M
158,P1900_000157,769,S
159,P1900_000158,770,S
160,P1900_000159,771,S
161,P1900_00016,772,M
162,P1900_000161,773,M
163,P1900_000162,774,S
164,P1900_000163,775,M
165,P1900_000164,776,M
166,P1900_000165,777,S
167,P1900_000166,778,S
168,P1900_000167,779,M
169,P1900_000168,780,S
170,P1900_000169,781,S
171,P1900_00017,782,S
172,P1900_000171,783,S
173,P1900_000172,784,S
174,P1900_000173,785,S
175,P1900_000174,786,S
176,P1900_000175,787,M
177,P1900_000176,788,M
178,P1900_000177,789,S
179,P1900_000178,790,S
180,P1900_000179,791,S
181,P1900_00018,792,S
182,P1900_000181,793,S
183,P1900_000182,794,M
184,P1900_000183,795,M
185,P1900_000184,796,S
186,P1900_000185,797,S
187,P1920_,612,M
188,P1920_000001,613,S
189,P1920_000002,614,S
190,P1920_000003,615,M
191,P1920_000004,616,M
192,P1920_000005,617,S
193,P1920_000006,618,M
194,P1920_000007,619,S
195,P1920_000008,620,S
196,P1920_000009,621,S
197,P1920_00001,622,Wed
198,P1920_000011,623,S
199,P1920_000012,624,S
200,P1920_000013,625,M
201,P1920_000014,626,M
202,P1920_000015,627,M
203,P1920_000016,628,S
204,P1920_000017,629,B
205,P1920_000018,630,M
206,P1920_000019,631,M
207,P1920_00002,632,M
208,P1920_000021,633,S
209,P1920_000022,634,S
210,P1920_000023,635,S
211,P1920_000024,636,S
212,P1920_000025,637,S
213,P1920_000026,638,S
214,P1920_000027,639,S
215,P1920_000028,640,S
216,P1920_000029,641,M
217,P1920_00003,642,M
218,P1920_000031,643,S
219,P1920_000032,644,S
220,P1920_000033,645,S
221,P1920_000034,646,S
222,P1920_000035,647,S
223,P1920_000036,648,Wed
224,P1920_000037,649,M
225,P1920_000038,650,M
226,P1920_000039,651,S
227,P1920_00004,652,S
228,P1920_000041,653,M
229,P1920_000042,654,M
230,P1920_000043,655,M
231,P1920_000044,656,M
232,P1920_000045,657,S
233,P1920_000046,658,S
234,P1920_000047,659,S
235,P1920_000048,660,S
236,P1920_000049,661,S
237,P1920_00005,662,S
238,P1920_000051,663,S
239,P1920_000052,664,S
240,P1920_000053,665,S
241,P1920_000054,666,M
242,P1920_000055,667,M
243,P1920_000056,668,S
244,P1920_000057,669,M
245,P1920_000058,670,M
246,P1920_000059,671,M
247,P1920_00006,672,S
248,P1920_000061,673,S
249,P1920_000062,674,S
250,P1920_000063,675,S
251,P1920_000064,676,S
252,P1920_000065,677,S
253,P1920_000066,678,S
254,P1920_000067,679,S
255,P1920_000068,680,S
256,P1920_000069,681,M
257,P1920_00007,682,M
258,P1920_000071,683,S
259,P1920_000072,684,S
260,P1920_000073,685,S
261,P1920_000074,686,S
262,P1920_000075,687,M
263,P1920_000076,688,M
264,P1920_000077,689,S
265,P1920_000078,690,S
266,P1920_000079,691,S
267,P1920_00008,692,M
268,P1920_000081,693,M
269,P1920_000082,694,S
270,P1920_000083,695,S
271,P1920_000084,696,S
272,P1920_000085,697,S
273,P1920_000086,698,S
274,P1920_000087,699,M
275,P1920_000088,700,M
276,P1920_000089,701,S
277,P1920_00009,702,S
278,P1920_000091,703,S
279,P1920_000092,704,S
280,P1920_000093,705,M
281,P1920_000094,706,S
282,P1920_000095,707,M
283,P1920_000096,708,M
284,P1920_000097,709,S
285,P1920_000098,710,S
286,P1920_000099,711,S
287,P1920_0001,712,S
288,P1920_000101,713,S
289,P1920_000102,714,S
290,P1920_000103,715,Wed
291,P1920_000104,716,S
292,P1920_000105,717,S
293,P1920_000106,718,S
294,P1920_000107,719,S
295,P1920_000108,720,S
296,P1920_000109,721,S
297,P1920_00011,722,M
298,P1920_000111,723,M
299,P1920_000112,724,S
300,P1920_000113,725,S
301,P1920_000114,726,M
302,P1920_000115,727,M
303,P1920_000116,728,S
304,P1920_000117,729,S
305,P1920_000118,730,S
306,P1920_000119,731,M
307,P1920_00012,732,S
308,P1920_000121,733,S
309,P1920_000122,734,S
310,P1920_000123,735,S
311,P1920_000124,736,S
312,P1920_000125,737,M
313,P1920_000126,738,M
314,P1920_000127,739,S
315,P1920_000128,740,S
316,P1920_000129,741,S
317,P1920_00013,742,S
318,P1920_000131,743,M
319,P1920_000132,744,M
320,P1920_000133,745,M
321,P1920_000134,746,M
322,P1920_000135,747,S
323,P1920_000136,748,S
324,P1920_000137,749,M
325,P1920_000138,750,M
326,P1920_000139,751,S
327,P1920_00014,752,M
328,P1920_000141,753,M
329,P1920_000142,754,M
330,P1920_000143,755,M
331,P1920_000144,756,S
332,P1920_000145,757,S
333,P1920_000146,758,S
334,P1920_000147,759,M
335,P1920_000148,760,M
336,P1920_000149,761,M
337,P1920_00015,762,M
338,P1920_000151,763,S
339,P1920_000152,764,S
340,P1920_000153,765,M
341,P1920_000154,766,M
342,P1920_000155,767,S
343,P1920_000156,768,S
344,P1920_000157,769,S
345,P1920_000158,770,M
346,P1920_000159,771,M
347,P1920_00016,772,S
348,P1920_000161,773,S
349,P1920_000162,774,S
350,P1920_000163,775,S
351,P1920_000164,776,S
352,P1920_000165,777,S
353,P1920_000166,778,M
354,P1920_000167,779,M
355,P1920_000168,780,S
356,P1920_000169,781,S
357,P1920_00017,782,M
358,P1920_000171,783,M
359,P1920_000172,784,S
360,P1920_000173,785,S
361,P1920_000174,786,S
362,P1920_000175,787,S
363,P1920_000176,788,M
364,P1920_000177,789,Wd
365,P1920_000178,790,S
366,P1920_000179,791,S
367,P1920_00018,792,S
368,P1920_000181,793,S
369,P1920_000182,794,Wd
370,P1920_000183,795,S
371,P1920_000184,796,S
372,P1920_000185,797,M
