property_id,person_id,record_id,owned_rented
1,P1900_,612,O
2,P1900_000001,613,NULL
3,P1900_000002,614,NULL
4,P1900_000003,615,NULL
5,P1900_000004,616,NULL
6,P1900_000005,617,O
7,P1900_000006,618,NULL
8,P1900_000007,619,NULL
9,P1900_000008,620,NULL
10,P1900_000009,621,NULL
11,P1900_00001,622,NULL
12,P1900_000011,623,R
13,P1900_000012,624,NULL
14,P1900_000013,625,NULL
15,P1900_000014,626,NULL
16,P1900_000015,627,NULL
17,P1900_000016,628,R
18,P1900_000017,629,NULL
19,P1900_000018,630,NULL
20,P1900_000019,631,O
21,P1900_00002,632,NULL
22,P1900_000021,633,NULL
23,P1900_000022,634,NULL
24,P1900_000023,635,O
25,P1900_000024,636,NULL
26,P1900_000025,637,NULL
27,P1900_000026,638,NULL
28,P1900_000027,639,NULL
29,P1900_000028,640,R
30,P1900_000029,641,NULL
31,P1900_00003,642,NULL
32,P1900_000031,643,R
33,P1900_000032,644,NULL
34,P1900_000033,645,NULL
35,P1900_000034,646,NULL
36,P1900_000035,647,R
37,P1900_000036,648,NULL
38,P1900_000037,649,NULL
39,P1900_000038,650,NULL
40,P1900_000039,651,NULL
41,P1900_00004,652,NULL
42,P1900_000041,653,NULL
43,P1900_000042,654,R
44,P1900_000043,655,NULL
45,P1900_000044,656,NULL
46,P1900_000045,657,NULL
47,P1900_000046,658,NULL
48,P1900_000047,659,NULL
49,P1900_000048,660,NULL
50,P1900_000049,661,NULL
51,P1900_00005,662,NULL
52,P1900_000051,663,R
53,P1900_000052,664,NULL
54,P1900_000053,665,NULL
55,P1900_000054,666,R
56,P1900_000055,667,NULL
57,P1900_000056,668,NULL
58,P1900_000057,669,NULL
59,P1900_000058,670,NULL
60,P1900_000059,671,NULL
61,P1900_00006,672,NULL
62,P1900_000061,673,NULL
63,P1900_000062,674,NULL
64,P1900_000063,675,R
65,P1900_000064,676,NULL
66,P1900_000065,677,NULL
67,P1900_000066,678,NULL
68,P1900_000067,679,NULL
69,P1900_000068,680,NULL
70,P1900_000069,681,R
71,P1900_00007,682,NULL
72,P1900_000071,683,NULL
73,P1900_000072,684,NULL
74,P1900_000073,685,NULL
75,P1900_000074,686,NULL
76,P1900_000075,687,NULL
77,P1900_000076,688,NULL
78,P1900_000077,689,NULL
79,P1900_000078,690,NULL
80,P1900_000079,691,NULL
81,P1900_00008,692,NULL
82,P1900_000081,693,NULL
83,P1900_000082,694,R
84,P1900_000083,695,NULL
85,P1900_000084,696,NULL
86,P1900_000085,697,NULL
87,P1900_000086,698,NULL
88,P1900_000087,699,NULL
89,P1900_000088,700,NULL
90,P1900_000089,701,NULL
91,P1900_00009,702,R
92,P1900_000091,703,NULL
93,P1900_000092,704,NULL
94,P1900_000093,705,NULL
95,P1900_000094,706,NULL
96,P1900_000095,707,NULL
97,P1900_000096,708,NULL
98,P1900_000097,709,NULL
99,P1900_000098,710,R
100,P1900_000099,711,NULL
101,P1900_0001,712,NULL
102,P1900_000101,713,NULL
103,P1900_000102,714,NULL
104,P1900_000103,715,R
105,P1900_000104,716,NULL
106,P1900_000105,717,R
107,P1900_000106,718,R
108,P1900_000107,719,NULL
109,P1900_000108,720,NULL
110,P1900_000109,721,R
111,P1900_00011,722,NULL
112,P1900_000111,723,NULL
113,P1900_000112,724,R
114,P1900_000113,725,R
115,P1900_000114,726,NULL
116,P1900_000115,727,NULL
117,P1900_000116,728,R
118,P1900_000117,729,NULL
119,P1900_000118,730,NULL
120,P1900_000119,731,NULL
121,P1900_00012,732,NULL
122,P1900_000121,733,NULL
123,P1900_000122,734,NULL
124,P1900_000123,735,NULL
125,P1900_000124,736,R
126,P1900_000125,737,NULL
127,P1900_000126,738,NULL
128,P1900_000127,739,NULL
129,P1900_000128,740,NULL
130,P1900_000129,741,NULL
131,P1900_00013,742,NULL
132,P1900_000131,743,NULL
133,P1900_000132,744,NULL
134,P1900_000133,745,NULL
135,P1900_000134,746,NULL
136,P1900_000135,747,NULL
137,P1900_000136,748,NULL
138,P1900_000137,749,NULL
139,P1900_000138,750,R
140,P1900_000139,751,NULL
141,P1900_00014,752,NULL
142,P1900_000141,753,NULL
143,P1900_000142,754,NULL
144,P1900_000143,755,NULL
145,P1900_000144,756,NULL
146,P1900_000145,757,NULL
147,P1900_000146,758,NULL
148,P1900_000147,759,R
149,P1900_000148,760,NULL
150,P1900_000149,761,R
151,P1900_00015,762,NULL
152,P1900_000151,763,NULL
153,P1900_000152,764,NULL
154,P1900_000153,765,NULL
155,P1900_000154,766,NULL
156,P1900_000155,767,R
157,P1900_000156,768,NULL
158,P1900_000157,769,NULL
159,P1900_000158,770,NULL
160,P1900_000159,771,NULL
161,P1900_00016,772,O
162,P1900_000161,773,NULL
163,P1900_000162,774,NULL
164,P1900_000163,775,R
165,P1900_000164,776,NULL
166,P1900_000165,777,NULL
167,P1900_000166,778,NULL
168,P1900_000167,779,NULL
169,P1900_000168,780,NULL
