relationship_id,person_id,family_id,record_id,relation_to_head
1,P1900_,F1950_000128,612,Head
2,P1900_000001,F1950_000129,613,Wife
3,P1900_000002,F1950_00013,614,Son
4,P1900_000003,F1950_000131,615,Son
5,P1900_000004,F1950_000132,616,Son
6,P1900_000005,F1950_000133,617,Head
7,P1900_000006,F1950_000134,618,Wife
8,P1900_000007,F1950_000135,619,Son
9,P1900_000008,F1950_000136,620,Son
10,P1900_000009,F1950_000137,621,Daughter
11,P1900_00001,F1950_000138,622,Sister
12,P1900_000011,F1950_000139,623,Head
13,P1900_000012,F1950_00014,624,Wife
14,P1900_000013,F1950_000141,625,Daughter
15,P1900_000014,F1950_000142,626,Son
16,P1900_000015,F1950_000143,627,Son
17,P1900_000016,F1950_000144,628,Head
18,P1900_000017,F1950_000145,629,Wife
19,P1900_000018,F1950_000146,630,Daughter
20,P1900_000019,F1950_000147,631,Head
21,P1900_00002,F1950_000148,632,Wife
22,P1900_000021,F1950_000149,633,Daughter
23,P1900_000022,F1950_00015,634,Servant
24,P1900_000023,F1950_000151,635,Head
25,P1900_000024,F1950_000152,636,Wife
26,P1900_000025,F1950_000153,637,Son
27,P1900_000026,F1950_000154,638,Daughter
28,P1900_000027,F1950_000155,639,Servant
29,P1900_000028,F1950_000156,640,Head
30,P1900_000029,F1950_000157,641,Wife
31,P1900_00003,F1950_000158,642,Son
32,P1900_000031,F1950_000159,643,Head
33,P1900_000032,F1950_00016,644,Wife
34,P1900_000033,F1950_000161,645,Daughter
35,P1900_000034,F1950_000162,646,Son
36,P1900_000035,F1950_000163,647,Head
37,P1900_000036,F1950_000164,648,Wife
38,P1900_000037,F1950_000165,649,Servant
39,P1900_000038,F1950_000166,650,Servant
40,P1900_000039,F1950_000167,651,Servant
41,P1900_00004,F1950_000168,652,Servant
42,P1900_000041,F1950_000169,653,Servant
43,P1900_000042,F1950_00017,654,Head
44,P1900_000043,F1950_000171,655,Wife
45,P1900_000044,F1950_000172,656,Daughter
46,P1900_000045,F1950_000173,657,Daughter
47,P1900_000046,F1950_000174,658,Daughter
48,P1900_000047,F1950_000175,659,Son
49,P1900_000048,F1950_000176,660,Head
50,P1900_000049,F1950_000177,661,Wife
51,P1900_00005,F1950_000178,662,Daughter
52,P1900_000051,F1950_000179,663,Head
53,P1900_000052,F1950_00018,664,Son
54,P1900_000053,F1950_000181,665,Son
55,P1900_000054,F1950_000182,666,Head
56,P1900_000055,F1950_000183,667,Wife
57,P1900_000056,F1950_000184,668,Daughter
58,P1900_000057,F1950_000185,669,Daughter
59,P1900_000058,F1950_000186,670,Son
60,P1900_000059,F1950_000187,671,Daughter
61,P1900_00006,F1950_000188,672,Son
62,P1900_000061,F1950_000189,673,Son
63,P1900_000062,F1950_00019,674,Daughter
64,P1900_000063,F1950_000191,675,Head
65,P1900_000064,F1950_000192,676,Wife
66,P1900_000065,F1950_000193,677,Head
67,P1900_000066,F1950_000194,678,Wife
68,P1900_000067,F1950_000195,679,Daughter
69,P1900_000068,F1950_000196,680,Son
70,P1900_000069,F1950_000197,681,Head
71,P1900_00007,F1950_000198,682,Wife
72,P1900_000071,F1950_000199,683,Daughter
73,P1900_000072,F1950_0002,684,Daughter
74,P1900_000073,F1950_000201,685,Daughter
75,P1900_000074,F1950_000202,686,Son
76,P1900_000075,F1950_000203,687,Boarder
77,P1900_000076,F1950_000204,688,Boarder
78,P1900_000077,F1950_000205,689,Boarder
79,P1900_000078,F1950_000206,690,Boarder
80,P1900_000079,F1950_000207,691,Boarder
81,P1900_00008,F1950_000208,692,Boarder
82,P1900_000081,F1950_000209,693,Servant
83,P1900_000082,F1950_00021,694,Head
84,P1900_000083,F1950_000211,695,Wife
85,P1900_000084,F1950_000212,696,Daughter
86,P1900_000085,F1950_000213,697,Daughter
87,P1900_000086,F1950_000214,698,Daughter
88,P1900_000087,F1950_000215,699,Daughter
89,P1900_000088,F1950_000216,700,Son
90,P1900_000089,F1950_000217,701,Son
91,P1900_00009,F1950_000218,702,Brother-In-Law
92,P1900_000091,F1950_000219,703,Sister-In Law
93,P1900_000092,F1950_00022,704,Head
94,P1900_000093,F1950_000221,705,Wife
95,P1900_000094,F1950_000222,706,Son
96,P1900_000095,F1950_000223,707,Son
97,P1900_000096,F1950_000224,708,Daughter
98,P1900_000097,F1950_000225,709,Son
99,P1900_000098,F1950_000226,710,Head
100,P1900_000099,F1950_000227,711,Wife
101,P1900_0001,F1950_000228,712,Daughter
102,P1900_000101,F1950_000229,713,Daughter
103,P1900_000102,F1950_00023,714,Daughter
104,P1900_000103,F1950_000231,715,Head
105,P1900_000104,F1950_000232,716,Wife
106,P1900_000105,F1950_000233,717,Head
107,P1900_000106,F1950_000234,718,Head
108,P1900_000107,F1950_000235,719,Brother
109,P1900_000108,F1950_000236,720,Brother
110,P1900_000109,F1950_000237,721,Head
